Account,Category,Income,Date,Description
Business Checking,Ingredients,27.23,05/19/2025,"crisco, choc chips"
Business Checking,Orders,64,09/05/2025,First Friday @ Moniker
Business Checking,Orders,44,09/12/2025,Moniker Brewery 9/12/2025
Business Checking,Orders,64,09/20/2025,Taste of 02908
Business Checking,Orders,386,09/21/2025,Rootstock 2025
Business Checking,Orders,68,10/01/2025,Fry Open Farm Night
Business Checking,Orders,124,10/03/2025,First Friday @ Moniker
Business Checking,Orders,281,10/11/2025,Fry Farm Fall Fest
Business Checking,Orders,122,10/25/2025,Halloween Marketplace at Dexter Park
Business Checking,Orders,110,11/02/2025,Doggie Halloween party with PARL
Business Checking,Orders,68,12/13/2025,Moniker Holiday Market Saturday December 13th
Business Checking,Orders,80,12/20/2025,Cookie Fest 2025
Business Checking,Orders,94,01/16/2026,Moniker Anniversary Party
